h1,h2,h3,h4,p1,p2,p3,p4,pt,   cost
1.236157525,1.279919009,2.303235645,2.980760161,2.415910121,0.600219435,1.03439125,4.859479194,8.91,10004.4798
1.167376555,1.836032533,2.838377482,3.857256679,1.844015517,0.473524451,0.825838408,4,7.143378376,10004.49902
1.561742786,2.52327554,2.830737191,3.247186858,1.87799998,0.564212423,0.917477291,4,7.359689695,10004.50187
1.052099303,1.919869016,2.224646776,4.503316799,1.785194123,0.407407846,0.856917409,4,7.049519378,10004.50319
1.453883768,2.035495331,2.88084428,3.033082769,2.061187232,0.611392929,0.958513392,4.318906446,7.95,10004.51319
1.262324289,1.704476648,1.708037837,3.228047593,2.322797809,0.575320168,1.160787292,4.851094731,8.91,10004.51458
1.079628547,1.132107705,1.585907115,4.036778512,2.437592967,0.461865416,1.092419369,4.918122248,8.91,10004.51826
1.97537691,1.990082138,2.008905809,2.761129489,2.352187785,0.675956272,1.17373969,4.708116252,8.91,10004.51924
1.081498596,1.982115051,2.978768475,3.213836114,2.008595066,0.584187139,0.919896345,4.437321451,7.95,10004.52481
1.119459664,1.844124499,2.210333693,2.956569284,2.275309343,0.640313115,1.09273349,4.901644052,8.91,10004.53263
1.186923347,1.707645167,3.187456132,3.901261266,1.87154368,0.486106061,0.799835869,4,7.15748561,10004.53427
1.797756203,1.878473969,1.990262076,2.383704729,2.627111267,0.796158933,1.298605325,5.278124475,10,10004.53496
1.044654994,1.352231957,3.202697715,4.52817309,1.891132129,0.419688631,0.731925404,4,7.042746164,10004.53626
1.142976858,1.556322975,2.371107564,3.003755074,2.330042987,0.6328795,1.054623336,4.892454176,8.91,10004.53656
1.045932049,2.777194839,3.389925326,3.635027197,1.701995257,0.52346397,0.818455719,4,7.043914946,10004.53745
1.389970346,1.451554389,1.51501601,2.894816219,2.664598377,0.657811343,1.317870375,5.359719904,10,10004.53816
1.023209126,2.622608161,3.183025447,3.790438041,1.701991247,0.503262461,0.817428973,4,7.022682681,10004.53982
1.000704175,1.466516987,1.723560152,2.352255535,2.896119806,0.817018802,1.397213232,6.10964816,11.22,10004.54688
1.211629399,2.188476143,2.205066589,4.275841818,1.815802039,0.45268102,0.906182064,4,7.174665124,10004.55365
